Year,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Electors,Position,Sex,Party,Votes,Candidate,Margin_Percentage
2018,63,YELBURGA,80.46,48.02,204648,1,Male,BJP,79072,ACHAR HALAPPA BASAPPA,8.09
2018,64,KOPPAL,75.8,54.64,238495,1,Male,INC,98783,K. RAGHAVENDRA BASAVARAJ HITNAL,14.58
2018,65,SHIRAHATTI,76.92,57.26,208796,1,Male,BJP,91967,RAMAPPA SOBEPPA LAMANI,18.68
2018,66,GADAG,74.43,48.41,215621,1,Male,INC,77699,HANAMANTAGOUDA KRISHNAGOUDA PATIL,1.16
2018,67,RON,77.16,49.09,221059,1,Male,BJP,83735,KALAKAPPA BANDI,4.3
2018,68,NARGUND,77.73,50.52,186012,1,Male,BJP,73045,CHANDRAKANTAGOUDA CHANNAPPAGOUDA PATIL,5.52
2018,69,NAVALGUND,79.43,41.19,200870,1,Male,BJP,65718,SHANKAR B. PATIL MUNENAKOPPA,12.86
2018,70,KUNDGOL,79.86,43.97,184730,1,Male,INC,64871,CHANNABASAPPA SATHYAPPA SHIVALLI,0.43
2018,71,DHARWAD,76.44,54.7,203593,1,Male,BJP,85123,AMRUT AYYAPPA DESAI,13.07
2018,72,HUBLI-DHARWAD-EAST,71.4,56.64,190600,1,Male,INC,77080,ABBAYYA PRASAD,15.77
2018,73,HUBLI-DHARWAD-CENTRAL,62.56,51.24,233920,1,Male,BJP,74985,JAGADISH SHETTAR,14.31
2018,74,HUBLI-DHARWAD- WEST,63.22,61.16,249504,1,Male,BJP,96462,ARVIND BELLAD,25.67
2018,75,KALGHATGI,81.43,54.82,186551,1,Male,BJP,83267,C M NIMBANNAVAR,17.11
2018,76,HALIYAL,78.06,46.41,169966,1,Male,INC,61577,DESHPANDE R.V,3.87
2018,77,KARWAR,74.04,37.69,216244,1,Female,BJP,60339,ROOPALI SANTOSH NAIK,8.78
2018,78,KUMTA,81.62,40.63,179087,1,Male,BJP,59392,DINAKAR KESHAV SHETTY,22.4
2018,79,BHATKAL,78.01,50.14,212646,1,Male,BJP,83172,SUNIL BILIYA NAIK,3.57
2018,80,SIRSI,82.32,45.52,188377,1,Male,BJP,70595,KAGERI VISHWESHWAR HEGDE,11.26
2018,81,YELLAPUR,83.4,47.26,168193,1,Male,INC,66290,ARABAIL HEBBAR SHIVARAM,1.06
2018,82,HANGAL,85.99,49.1,190724,1,Male,BJP,80529,C M UDASI,3.97
2018,83,SHIGGAON,81.61,49.02,209629,1,Male,BJP,83868,BASAVARAJ BOMMAI,5.42
2018,84,HAVERI,78.57,50.74,217107,1,Male,BJP,86565,NEHARU OLEKAR,6.63
2018,85,BYADGI,84.61,54.98,197190,1,Male,BJP,91721,BALLARY VIRUPAKSHAPPA RUDRAPPA,12.75
2018,86,HIREKERUR,85.58,48.1,176033,1,Male,INC,72461,BASAVANAGOUDA PATIL,0.37
